Quotation ID;Product Description
019764b8-dbb7-71eb-9022-dfd1689a3bf9;Dossiers rectorat
019765c1-72d0-79e5-a297-92c6b535d5cb;PORTE AV GAUCHE CLK MERCDES
01976871-c348-70fe-9df0-6a7991347704;médailles sapeurs-pompiers
01976875-cc62-717e-9210-47b668c2b463;caisse enregistreuse
0197689a-d78b-7083-8278-f0632b2f147d;COPIEUR RICOH
01976904-b7ce-7ffc-961e-ea2ca99f3a90;2 écrans + alim
019769b3-9e66-7695-bf11-af367afc2b08;électronique
019769c5-a687-7490-868f-7797d981032d;livres
019769da-a2fc-70e4-8a85-06085ef41a8e;électronique
01976d14-09a6-73f0-8b03-e373c9bdf002;Pièces de bateau
01976ec1-0d7c-763e-ba20-ee9852e31006;Pièces mécaniques
01976f2a-8ff0-703d-8752-31c5ed8aa9a5;1 lot de copies de bac
0197748f-4301-7ff5-b3b4-2500dd5ea92f;Boîte de vitesse
01977770-7e71-70b3-b45b-9538430b000f;retour Japocat
019777f2-11b2-794b-902f-1af8e6efb82c;enceinte bluetooth
01977838-7934-7dd6-b28b-bf1abcaf3114;3 barrières en bois de 1m
0197787e-eaeb-7571-9669-0626c98a5bed;VOLANT MOTEUR
019778cf-a53d-7ca2-bc7e-dc8060662942;Bois
019778d6-78ee-7100-98b9-65a0fec67faf;Bois
019778ff-4a5f-72d5-9e6c-cc08048a480c;Table en bois
01977911-87b0-72cd-9369-860c8b754605;Matériel technique
019779ec-b9e6-7ce9-ad54-ec70e88d6e9b;Boîte de vitesse voiture
019779f1-79a2-7ddd-af5a-14530bd22c18;Boîte de vitesse voiture
01977cb1-73f5-71f6-8baf-012362714a87;retour Japocat
01977cb3-f830-791c-8900-073cdc3e6d7f;retour Japocat
01977cbf-a249-746a-9846-23749f3fc9b7;clamps hydrauliques
01977cc0-5ec2-7d61-8fe4-4cdcd8a08fc5;retour Japocat
01977ccc-8da1-7eaf-9ba0-c0f8ba000e94;Documents papiers
01977d2c-34d0-736e-8919-de279cc3e260;accessoires
01977d42-2c00-7516-95a8-9bdceef73835;Appareil de mesure
01977d5f-a33d-7c3f-b17b-fd31c108e2dc;K Beauty
01977d74-d431-70a1-af6e-dbc7854447fe;Echantillons
01977dc1-3be5-7ca3-a874-f4000d6a6919;Réfrigérateur
01977dd3-3bfc-768e-a901-b37bd0bb9ec6;courrier
01977dfa-9012-7e70-b27e-9a52e9d2b46d;équipement sécu
01977e00-585b-777c-b34e-bd70f565039f;Matériel technique
01977e0c-3e19-7367-8c05-92ca3e8e42df;Boîte de vitesse
