Goods code;Language;Hier. Pos.;Description
4700000000 80;FR;2;"PÂTES DE BOIS OU D'AUTRES MATIÈRES FIBREUSES CELLULOSIQUES; PAPIER OU CARTON À RECYCLER (DÉCHETS ET REBUTS)"
4800000000 80;FR;2;"PAPIERS ET CARTONS; OUVRAGES EN PÂTE DE CELLULOSE, EN PAPIER OU EN CARTON"
4900000000 80;FR;2;"PRODUITS DE L'ÉDITION, DE LA PRESSE OU DES AUTRES INDUSTRIES GRAPHIQUES; TEXTES MANUSCRITS OU DACTYLOGRAPHIÉS ET PLANS"
5000000000 80;FR;2;SOIE
5100000000 80;FR;2;"LAINE, POILS FINS OU GROSSIERS; FILS ET TISSUS DE CRIN"
5200000000 80;FR;2;COTON
5300000000 80;FR;2;"AUTRES FIBRES TEXTILES VÉGÉTALES; FILS DE PAPIER ET TISSUS DE FILS DE PAPIER"
5400000000 80;FR;2;"FILAMENTS SYNTHÉTIQUES OU ARTIFICIELS;"
5500000000 80;FR;2;FIBRES SYNTHÉTIQUES OU ARTIFICIELLES DISCONTINUES
5600000000 80;FR;2;"OUATES, FEUTRES ET NONTISSÉS; FILS SPÉCIAUX; FICELLES, CORDES ET CORDAGES; ARTICLES DE CORDERIE"
5700000000 80;FR;2;TAPIS ET AUTRES REVÊTEMENTS DE SOL EN MATIÈRES TEXTILES
5800000000 80;FR;2;"TISSUS SPÉCIAUX; SURFACES TEXTILES TOUFFETÉES; DENTELLES; TAPISSERIES; PASSEMENTERIES; BRODERIES"
5900000000 80;FR;2;"TISSUS IMPRÉGNÉS, ENDUITS, RECOUVERTS OU STRATIFIÉS; ARTICLES TECHNIQUES EN MATIÈRES TEXTILES"
6000000000 80;FR;2;ÉTOFFES DE BONNETERIE
6100000000 80;FR;2;VÊTEMENTS ET ACCESSOIRES DU VÊTEMENT, EN BONNETERIE
6200000000 80;FR;2;VÊTEMENTS ET ACCESSOIRES DU VÊTEMENT, AUTRES QU'EN BONNETERIE
6300000000 80;FR;2;"AUTRES ARTICLES TEXTILES CONFECTIONNÉS; ASSORTIMENTS; FRIPERIE ET CHIFFONS"
6400000000 80;FR;2;"CHAUSSURES, GUÊTRES ET ARTICLES ANALOGUES; PARTIES DE CES OBJETS"
6500000000 80;FR;2;COIFFURES ET PARTIES DE COIFFURES
6600000000 80;FR;2;PARAPLUIES, OMBRELLES, PARASOLS, CANNES, CANNES-SIÈGES, FOUETS, CRAVACHES ET LEURS PARTIES
6700000000 80;FR;2;"PLUMES ET DUVET APPRÊTÉS ET ARTICLES EN PLUMES OU EN DUVET; FLEURS ARTIFICIELLES; OUVRAGES EN CHEVEUX"
6800000000 80;FR;2;OUVRAGES EN PIERRES, PLÂTRE, CIMENT, AMIANTE, MICA OU MATIÈRES ANALOGUES
6900000000 80;FR;2;PRODUITS CÉRAMIQUES
7000000000 80;FR;2;VERRE ET OUVRAGES EN VERRE
7100000000 80;FR;2;"PERLES FINES OU DE CULTURE, PIERRES GEMMES OU SIMILAIRES, MÉTAUX PRÉCIEUX, PLAQUÉS OU DOUBLÉS DE MÉTAUX PRÉCIEUX ET OUVRAGES EN CES MATIÈRES; BIJOUTERIE DE FANTAISIE; MONNAIES"
7200000000 80;FR;2;FONTE, FER ET ACIER
7300000000 80;FR;2;OUVRAGES EN FONTE, FER OU ACIER
7400000000 80;FR;2;CUIVRE ET OUVRAGES EN CUIVRE
7500000000 80;FR;2;NICKEL ET OUVRAGES EN NICKEL
7600000000 80;FR;2;ALUMINIUM ET OUVRAGES EN ALUMINIUM
7800000000 80;FR;2;PLOMB ET OUVRAGES EN PLOMB
7900000000 80;FR;2;ZINC ET OUVRAGES EN ZINC
8000000000 80;FR;2;ÉTAIN ET OUVRAGES EN ÉTAIN
8100000000 80;FR;2;"AUTRES MÉTAUX COMMUNS; CERMETS; OUVRAGES EN CES MATIÈRES"
8200000000 80;FR;2;"OUTILS ET OUTILLAGE, ARTICLES DE COUTELLERIE ET COUVERTS DE TABLE, EN MÉTAUX COMMUNS; PARTIES DE CES ARTICLES, EN MÉTAUX COMMUNS"
8300000000 80;FR;2;OUVRAGES DIVERS EN MÉTAUX COMMUNS
8400000000 80;FR;2;"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES, APPAREILS ET ENGINS MÉCANIQUES; PARTIES DE CES MACHINES OU APPAREILS"
8500000000 80;FR;2;"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES ET LEURS PARTIES; APPAREILS D'ENREGISTREMENT OU DE REPRODUCTION DU SON, APPAREILS D'ENREGISTREMENT OU DE REPRODUCTION DES IMAGES ET DU SON EN TÉLÉVISION, ET PARTIES ET ACCESSOIRES DE CES APPAREILS"
8600000000 80;FR;2;"VÉHICULES ET MATÉRIEL POUR VOIES FERRÉES OU SIMILAIRES ET LEURS PARTIES; APPAREILS MÉCANIQUES (Y COMPRIS ÉLECTROMÉCANIQUES) DE SIGNALISATION POUR VOIES DE COMMUNICATIONS"
8700000000 80;FR;2;VOITURES AUTOMOBILES, TRACTEURS, CYCLES ET AUTRES VÉHICULES TERRESTRES, LEURS PARTIES ET ACCESSOIRES
8800000000 80;FR;2;NAVIGATION AÉRIENNE OU SPATIALE
