goods_code,hier_pos,language,description
0106190000,6,EN,Other
0106200000,6,EN,Reptiles (including snakes and turtles)
0106310000,6,EN,Birds
0106310000,6,EN,Birds of prey
0106320000,6,EN,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
0106330000,6,EN,Ostriches; emus (Dromaius novaehollandiae)
0106390000,6,EN,Other
0106391000,8,EN,Pigeons
0106398000,8,EN,Other
0106410000,6,EN,Insects
0106410000,6,EN,Bees
0106490000,6,EN,Other
0106900000,6,EN,Other
0106900010,10,EN,Frogs
0106900010,10,EN,Fit for human consumption
0106900019,10,EN,Other
0106900090,10,EN,Other
0200000000,2,EN,MEAT AND EDIBLE MEAT OFFAL
0201000000,4,EN,"Meat of bovine animals, fresh or chilled"
0201100000,6,EN,Carcases and half-carcases
0201100021,10,EN,High quality beef and veal
0201100021,10,EN,Of bison
0201100029,10,EN,Other
0201100092,10,EN,Other
0201100092,10,EN,"Carcases of a weight of 180|kg or more but not exceeding 300|kg and half-carcases, of a weight of 90|kg or more but not exceeding 150|kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201100092,10,EN,Of bison
0201100094,10,EN,Other
0201100097,10,EN,Other
0201100097,10,EN,Of bison
0201100098,10,EN,Other
0201200000,6,EN,Other cuts with bone in
0201202000,8,EN,'Compensated' quarters
0201202021,10,EN,High quality beef and veal
0201202021,10,EN,Of bison
0201202029,10,EN,Other
0201202092,10,EN,Other
0201202092,10,EN,"""Compensated"" quarters, of a weight of 90|kg or more but not exceeding 150|kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201202092,10,EN,Of bison
0201202094,10,EN,Other
0201202097,10,EN,Other
0201202097,10,EN,Of bison
0201202098,10,EN,Other
0201203000,8,EN,Unseparated or separated forequarters
0201203021,10,EN,High quality beef and veal
0201203021,10,EN,Of bison
0201203029,10,EN,Other
0201203092,10,EN,Other
0201203092,10,EN,"Separated forequarters of a weight of 45|kg or more but not exceeding|75|kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201203092,10,EN,Of bison
0201203094,10,EN,Other
0201203097,10,EN,Other
0201203097,10,EN,Of bison
0201203098,10,EN,Other
0201205000,8,EN,Unseparated or separated hindquarters
0201205021,10,EN,High quality beef and veal
0201205021,10,EN,Of bison
0201205029,10,EN,Other
0201205092,10,EN,Other
0201205092,10,EN,"Separated hindquarters of a weight of 45|kg or more but not exceeding 75|kg (38|kg or more but not exceeding 68|kg in the case of ""Pistola"" cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
0201205092,10,EN,Of bison
0201205094,10,EN,Other
0201205097,10,EN,Other
0201205097,10,EN,Of bison
0201205098,10,EN,Other
0201209000,8,EN,Other
0201209011,10,EN,High quality beef and veal
0201209011,10,EN,Of bison
0201209015,10,EN,Other
0201209091,10,EN,Other
0201209091,10,EN,Of bison
0201209099,10,EN,Other
0201300000,6,EN,Boneless
0201300031,10,EN,High quality
0201300031,10,EN,Of bison
0201300039,10,EN,Other
0201300041,10,EN,Other
0201300041,10,EN,Buffalo meat
0201300041,10,EN,Of bison
0201300049,10,EN,Other
0201300090,10,EN,Other
0202000000,4,EN,"Meat of bovine animals, frozen"
0202100000,6,EN,Carcases and half-carcases
0202100011,10,EN,High quality beef and veal
0202100011,10,EN,Of bison
0202100015,10,EN,Other
0202100091,10,EN,Other
0202100091,10,EN,Of bison
0202100099,10,EN,Other
0202200000,6,EN,Other cuts with bone in
0202201000,8,EN,'Compensated' quarters
0202201011,10,EN,High quality beef and veal
0202201011,10,EN,Of bison
0202201015,10,EN,Other
0202201091,10,EN,Other
0202201091,10,EN,Of bison
0202201099,10,EN,Other
0202203000,8,EN,Unseparated or separated forequarters
0202203011,10,EN,High quality beef and veal
0202203011,10,EN,Of bison
0202203015,10,EN,Other
0202203081,10,EN,Other
0202203081,10,EN,Intended for processing
0202203081,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0202203081,10,EN,Of bison
0202203082,10,EN,Other
0202203083,10,EN,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0202203083,10,EN,Of bison
0202203084,10,EN,Other
0202203085,10,EN,Other
0202203085,10,EN,Of bison
0202203086,10,EN,Other
0202203087,10,EN,Other
0202203087,10,EN,Of bison
0202203088,10,EN,Other
0202205000,8,EN,Unseparated or separated hindquarters
0202205011,10,EN,High quality beef and veal
0202205011,10,EN,Of bison
0202205015,10,EN,Other
0202205091,10,EN,Other
0202205091,10,EN,Of bison
0202205099,10,EN,Other
0202209000,8,EN,Other
0202209011,10,EN,High quality beef and veal
0202209011,10,EN,Of bison
0202209015,10,EN,Other
0202209091,10,EN,Other
0202209091,10,EN,Of bison
0202209099,10,EN,Other
0202300000,6,EN,Boneless
0202301000,8,EN,"Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece"
0202301011,10,EN,High quality beef and veal
0202301011,10,EN,Of bison
0202301015,10,EN,Other
0202301081,10,EN,Other
0202301081,10,EN,Intended for processing
0202301081,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0202301081,10,EN,Of bison
0202301082,10,EN,Other
0202301083,10,EN,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0202301083,10,EN,Of bison
0202301084,10,EN,Other
0202301085,10,EN,Other
0202301085,10,EN,Of bison
0202301086,10,EN,Other
0202301087,10,EN,Other
0202301087,10,EN,Of bison
0202301088,10,EN,Other
0202305000,8,EN,"Crop, chuck-and-blade and brisket cuts"
0202305011,10,EN,High quality beef and veal
0202305011,10,EN,Of bison
0202305015,10,EN,Other
0202305081,10,EN,Other
0202305081,10,EN,Intended for processing
0202305081,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0202305081,10,EN,Of bison
0202305082,10,EN,Other
0202305083,10,EN,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0202305083,10,EN,Of bison
0202305084,10,EN,Other
0202305085,10,EN,Other
0202305085,10,EN,Of bison
0202305086,10,EN,Other
