Goods code;Language;Hier. Pos.;Description
5200000000 80;EN;2;COTTON
5300000000 80;EN;2;"OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN"
5400000000 80;EN;2;"MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS"
5500000000 80;EN;2;MAN-MADE STAPLE FIBRES
5600000000 80;EN;2;"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF"
5700000000 80;EN;2;CARPETS AND OTHER TEXTILE FLOOR COVERINGS
5800000000 80;EN;2;"SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY"
5900000000 80;EN;2;"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE"
6000000000 80;EN;2;KNITTED OR CROCHETED FABRICS
6100000000 80;EN;2;ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED
6200000000 80;EN;2;ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED
6300000000 80;EN;2;"OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS"
6400000000 80;EN;2;"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES"
6500000000 80;EN;2;HEADGEAR AND PARTS THEREOF
6600000000 80;EN;2;UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF
6700000000 80;EN;2;"PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR"
6800000000 80;EN;2;ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS
6900000000 80;EN;2;CERAMIC PRODUCTS
7000000000 80;EN;2;GLASS AND GLASSWARE
7100000000 80;EN;2;"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN"
7200000000 80;EN;2;IRON AND STEEL
7300000000 80;EN;2;ARTICLES OF IRON OR STEEL
7400000000 80;EN;2;COPPER AND ARTICLES THEREOF
7500000000 80;EN;2;NICKEL AND ARTICLES THEREOF
7600000000 80;EN;2;ALUMINIUM AND ARTICLES THEREOF
7800000000 80;EN;2;LEAD AND ARTICLES THEREOF
7900000000 80;EN;2;ZINC AND ARTICLES THEREOF
8000000000 80;EN;2;TIN AND ARTICLES THEREOF
8100000000 80;EN;2;"OTHER BASE METALS; CERMETS; ARTICLES THEREOF"
8200000000 80;EN;2;"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL"
8300000000 80;EN;2;MISCELLANEOUS ARTICLES OF BASE METAL
8400000000 80;EN;2;"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF"
8500000000 80;EN;2;"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES"
8600000000 80;EN;2;"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS"
8700000000 80;EN;2;VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF
8800000000 80;EN;2;AIRCRAFT, SPACECRAFT, AND PARTS THEREOF
8900000000 80;EN;2;SHIPS, BOATS AND FLOATING STRUCTURES
9000000000 80;EN;2;"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF"
9100000000 80;EN;2;CLOCKS AND WATCHES AND PARTS THEREOF
9200000000 80;EN;2;"MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES"
9300000000 80;EN;2;"ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF"
9400000000 80;EN;2;"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LUMINAIRES AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS"
9500000000 80;EN;2;"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF"
9600000000 80;EN;2;MISCELLANEOUS MANUFACTURED ARTICLES
9700000000 80;EN;2;WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES
9800000000 80;EN;2;COMPLETE INDUSTRIAL PLANT
9900000000 80;EN;2;SPECIAL COMBINED NOMENCLATURE CODES
