Quotation ID;Product Description;HSCODE;FIABILITY
019778b4-9e2e-74d2-8635-815d99611037;COLIS CONTIENT 5 MATS PARASOL EN BOIS ET MéTAL;;
0197775f-f1a9-7694-a6a4-0eada76c3769;Dispositif mEdical;;
0197795f-a985-7d10-8265-b78a99815677;Gabarit de cintrage en contreplaquE;;
01977db3-d722-73f0-a63a-fb736aa2d9d8;Caisse de transport en bois;;
01977cee-c394-71bf-affe-3cf51a1ada3b;carton;;
01977cd9-3793-725f-8633-e7cead117c7b;mobilier en metal;;
01977d09-d180-7a83-a053-8e9b0de22584;ROULETTES;;
01977cc5-01bc-709b-be4e-815de4622940;MatEriel informatique;;
01977e89-90f6-7376-8cdc-36503ebe1825;Chutes EM 3589 - EM 3590;;
01977da5-128f-72b3-a1ae-837e41c75fc3;SOUDEUSE;;
01977df5-c1fb-70c8-b961-b4b25bca19fb;GUITARE;;
01977d56-e345-7b25-8211-87df79b2ee36;Plaques et toiles;;
01977cae-da07-7cfe-99f8-f4708937748e;35kg de matEriel de plomberie ;;
01977da4-3956-714a-8052-0a84c37a59f3;table basse et patères;;
0197835c-9254-7bf4-9561-8fc12a66da2e;CARTON DE BOLUS;;
0197824d-b242-7e2c-b005-8fa18e47e14c;POUF;;
019781cc-3741-786d-84c3-810732005f15;Casiers à bouteille en plastiques;;
0197830c-5a99-7046-8e3b-944d09122f5f;appareil Electrique ;;
019782e6-69ed-7471-85a0-ebcc5135be93;Bar pliable en caisse de transport. Fragile;;
01978331-88e6-767d-a93a-608443331d02;matEriel scout (tentes;;
01978266-3b63-7738-817c-c0c452455811;PAC Piscine;;
01978256-02b5-7462-9387-c40c9d68de01;SEMENCE ETALON;;
019782f3-19ca-7bac-b7c8-ca9a20892969;Armoire à clEs;;
0197818b-f93f-7494-be46-bc9c48dc3797;phare LED de travail;;
019781cf-755f-7cf2-9241-960f7dd0eaa0;Petites pieces mEtalliques;;
01978239-6cfe-7a8d-8b14-8648c3b4e544;Jeux gonflables ;;
0197829d-061c-7511-a1a5-6dcabdf3e9a2;moustiquaires;;
01978857-20e6-7edd-aece-dd6e9766a00e;BOITE A VITESSE;;
0197878d-1ad4-7d7d-8caf-8b99fc91adb6;Ferrures mEtalliques ;;
01978823-b080-70c3-a2b9-5407e4e1c969;appareils de mesure cmat;;
019787bd-4d86-72d6-bc3c-acee57a46f04;MatEriel de sport;;
01978752-6dae-7e94-aab9-55a73b3051a9;Pompe lisier;;
019788b3-6364-7229-a452-1cf1d18ea30e;Sèche linge;;
0197884d-7d11-7e19-b7a3-86e352668fcd;pare choc;;
01978761-7c78-737d-a54c-03c05fc5791a;Presentoir;;
01978788-8232-7535-b051-c8323814fa12;caisson ;;
019787cb-4b2b-7fc7-902f-a57b49566e6f;Turbine de ventilation;;
0197879a-7ca4-79ae-82a8-33e79d5b12d7;pièces mEcanique;;
01978842-a322-7f44-bfe4-f05bb220b97b;PIECES CARROSSERIE ;;
019787a6-4488-78b8-8134-b55d29c4aea6;siege ;;
019787a3-71ad-7887-9b91-f4933f7e422f;AILE ARRIERE VEHICULE;;
01978c82-f71b-78c6-87b6-014bdd575232;Palox mEtalliques;;
01978e01-7041-715a-8c45-7d1d4ec684c8;VElo;;
01978d8a-35fb-768f-ba6e-1408c57ce744;caisse fermEe sur palette;;
01978e0b-b72a-7abd-a24e-bdeed9c98a43;Bloc moteur ;;
01978d0e-d486-76d0-bb72-62aa9c57d436;livres en cartons;;
01978df0-50df-7217-90d7-a3b63f7cbda8;TELEVISEUR;;
01978e07-2cc6-7c32-b04d-59f40fa196fa;MatEriel profesionnel apiculture;;
01978e03-a86e-7891-9eda-0a7a654e37da;Produits fragiles NON GERBABLE;;
01978c80-ea0a-7fdf-b294-beb6cf473bf1;deshumidificateur;;
01978da6-3707-7aa5-8f3b-adc605798fb9;tube acier laquE;;
01978dbd-978d-7d0e-a56e-c64b525cf743;AUDIOVISUELLE;;
01978ddd-afcd-7764-b986-5a1cfbcb0ec1;Pièce dEtachEe automobile;;
01978d42-f47a-71a9-841a-cf84cc50f3c0;Echafaudage ;;
01978df0-06d1-7da1-a720-0b3785e14fd7;MOTEUR DE MOTO;;
01978d57-8aa3-7d7c-85d5-55d2d39d7507;table basse et patères;;
01978c1d-18ad-77d2-a096-8623ed690a25;PARE CHOC;;
01978c42-f1b3-7397-aa6a-7436258ec812;pieces mecaniques;;
0197933e-f6ad-76d5-962f-8ef34a7dc12c;2 cartons de vaisselle sur palette;;
01979121-f2b2-74e0-a658-30b6356bb735;appareil;;
01979857-b9c2-7fdd-9aed-26997ae98dbc;Moteur de voiture ;;
01979bc5-8390-7b77-b5c7-e23388a0c06a;Porte avant droite retour a l expEditeur ;;
01979ceb-24d1-78f5-bf98-ffd96ff9f490;Policarbonate;;
01979cba-9190-7457-b9e4-8b296d6ed519;pavEs pierre;;
01979bed-6ceb-782c-8631-f09b00312416;Souffleur ;;
01979c43-7852-7ac9-98c8-a2627a61f6d1;meuble à tiroir;;
01979db2-5502-7af8-a5bc-6fc05b727b68;BARRES A RIDEAU;;
01979c44-0a85-7eaa-8a85-0a636a42ab22;plots terrasse;;
01979cb1-8961-7a08-85bc-0442eb410130;Maie de pressoir inox alimentaire;;
01979c44-bbd7-7925-b9f4-85c4d3a79f99;Imprimante;;
01979cd6-b807-7909-a5b5-24a2077f4d0a;CARTON ;;
01979bb5-7632-7d7a-aa58-e889dc63fcaf;Velo stepper;;
01979d13-83e0-7fbf-85d8-c71fd38e8965;Cuve;;
01979cfe-4d62-7cdc-be97-3a2bbd6fbdde;VANNES;;
01979d8e-f466-7d5f-9e33-e7232557e676;JEUX DE LUMIERES;;
0197a181-4b57-7418-aefd-ca5f0b8c1be1;Mobilier dEmontE en carton;;
0197a15e-b0d0-7576-824c-83877042da5f;VElo;;
0197a119-01f5-7c67-8f02-770dca2a1ce0;Composants Electronique;;
0197a1c0-8c8a-7823-9d49-5505c7727c16;Moteur moto;;
0197a086-a308-7640-b25e-ba99c2299b5f;Pièce agricole ;;
0197a1da-a15d-7263-8e12-96607c88908f;piece fibre de verre peinte;;
0197a0e4-5656-72dc-b573-45de824fa3b5;essieu;;
0197a0d9-ba27-77ab-a095-018c5aa1d45e;station totale topo;;
0197a184-762e-74a9-8ce5-40de452ff251;pneus;;
0197a0b2-c2b9-7b2d-8f35-f03ef012986d;MatEriel Electronique;;
0197a260-9c90-7099-8881-60f310d78848;BOITE DE VITESSES;;
0197a1b9-af5b-7e2b-b907-fe096026c581;textiles;;
0197a1c0-a30a-7c0d-8627-b6d5aa7a6c43;textiles;;
0197a0ef-750f-7106-8eb6-81f039bbae8b;cadre de vElo;;
0197a109-3c7d-7d5e-8f62-311ae264dea3;cadre de vElo;;
0197a12b-4a5b-7fbe-b937-0bf80f1493e2;moteur voiture ;;
0197a059-da4f-78f8-9ab9-b6bc2b6f4144;ROULETTES INDUSTRIELLES;;
0197a165-9bf7-7c3f-80eb-bd34c021decc;RADIOS;;
0197a774-008c-7b82-a992-62c7e5e5ec14;PHARE DE CAMION;;
0197a75a-41dd-7555-b6b3-17c29da80678;BOITE DE VITESSE VEHICULE;;
0197a6fd-a79b-7622-ac25-17ef47c41a36;plateforme rotative;;
0197a77f-df92-7956-a248-3d761f917725;VELO;;
0197a77a-2761-7625-b813-30ae65b8b8be;Saumure;;
0197a783-d699-7ce5-9a8f-46c14f188401;Parechoc;;
0197a672-55e5-72ee-82a6-fdf3628f21d6;Siège avant Gauche RENAULT TRAFIC;;
0197a75d-afde-7fd2-8c9b-83d41b4c1c81;imprimante;;
0197a589-2e7d-7b8f-8f7f-cd0f91e87019;anode bateau;;
0197a87b-14c6-71a4-96fe-5ecd28d0ac87;30 Cartons de 25 sauces piquantes en verre;;
0197a6b6-6df0-7349-a045-752a832d5127;Machine à laver neuve emballE + purificateur d'™air;;
0197a708-83ad-7106-b07d-be1a67a48afe;machine;;
0197a655-1e96-71f2-bd3b-8e1870162302;retour Japocat;;
0197a665-d044-7c6f-adf1-73a97e81f234;vElo;;
0197acac-1d40-7535-986f-c73ac82173e0;VElo Electrique;;
0197ad09-fe53-789b-a146-1e1d831f6634;TENTE;;
0197acf9-ad04-7032-a75b-51f289de9e71;Machine de recharge automobile inerte;;
0197ab98-59c8-763e-b2ee-ec998ed0d83b;BUREAU -  NE PAS GERBER la palette;;
0197ac72-0842-771a-8d3d-8670870ff475;Smartphones;;
0197acb5-6147-7144-a7b9-08774de4f55f;Tente de toit;;
0197ac2f-d613-7ddc-bdb7-f16a0eab3361;ECRAN TV;;
0197aba1-ba4f-7264-9b62-0b51ccfedc87;REfrigErateur;;
0197ab25-fc97-74c3-939a-eb60a96f6157;MOTEUR MOTO;;
0197ab18-5a81-7204-91a4-56657fc6e6fe;ROBOT ;;
0197ab65-576e-7a0c-be62-63da9cd82f60;Racks arceaux vElo;;
0197ac59-7f2e-7179-8863-539ef8a1bcb9;FRAGILE /VF D ASCENSEUR;;
0197ab99-299d-7d5b-91b7-717011591c95;REHAUSSE ESCALIER;;
0197ac63-5fb0-7d1a-b5a2-2ef38143e637;Meubles;;
0197ac58-fae2-7997-86d6-b479690a9464;chaise;;
0197ac3e-4681-762d-9e0c-a5f065a604e1;CONSIGNE;;
0197acd0-bf30-73c9-9075-ce730f55c17e;Climatiseur de cave FRAGILE ;;
0197b261-f575-78cf-80bf-abdde9c93bad;sAC DE BACHES;;
0197b0e0-9954-7705-82c0-193044bf62c2;CAPOT CARROSSERIE ;;
0197b05a-a74a-7e99-9940-6328d5845803;caisse vErin;;
0197b04b-7e83-7633-8d0c-5c3d63e48df1;Tableau Electrique;;
0197b084-099f-7cc0-ac04-dcf58b6b0b2c;RAMPES;;
0197b164-ebac-7539-812e-93186e5177c4;velo;;
0197b11b-0e12-76b4-836e-6f8b23cdd23f;Cendrier de poche KLOPPER x 3000;;
0197b1a8-5d97-7f9c-9e91-cc2ead60c074;Decoration EvEnementielle;;
0197b17e-16a7-770a-a852-1e5abf89c6df;CamEra ;;
0197b698-47e6-70fe-8830-eaa7eadb2bcf;elements de dEcoration : bougies;;
0197b5b4-e6f9-71e0-9d84-d59c500adcfe;PANNEAUX SIGNALETIQUE;;
0197c160-bcca-76b5-8d05-b5977fd0ce6e;Liaisons frigorifiques;;
0197c15d-7065-7a36-a4d5-835e08f35692;Barriques vide;;
0197c200-b95e-7e7c-a905-9af46fe07516;Palette filmE (mobilier);;
0197bfe2-35a1-793d-b41c-e3c7e5ea05f5;boite de vitesse;;
0197bffb-8f6e-7ac0-ba49-969448f5df4e;VElo;;
0197c015-4545-7377-9d1b-8b7d243dade9;6 x pc portable;;
0197c150-efd3-74a3-8500-235a12640ae8;Lames de bois;;
0197c0fc-30c2-7382-81a7-983ddbb8c4e9;1 imprimante à billets;;
0197c066-9928-7fd8-8f7d-fb67b3b224e2;Structure vEgEtalisEe emballEe en carton ;;
0197bfd7-6f7e-70c0-b908-d045b5279d30;Moteur de moto;;
0197bfd8-598c-7a44-9127-cbc53d14f7c3;produits de laboratoire;;
0197bf33-c18c-7dcb-a15d-ef69e829ac61;16 colis de conserves;;
0197c613-6eed-7541-a2e1-679c72e719d7;evier fragonit;;
0197c6ab-4316-7b96-ad82-b5f7facb2bba;Ventouse ;;
0197c583-af0f-7d20-9286-ccc2966c1b78;Ecran de retro;;
0197c562-551a-7c55-93d8-fac629668c4a;Un touret de câble -;;
0197c698-00df-74a3-9a2b-1da2f58037d3;TElEvision;;
0197c5ff-d120-72c1-8b9a-59c3fc40594c;Jouets;;
0197c533-0d25-78a6-8f17-d526fc3272a9;dEcoration EvEnementielle ;;
0197c670-0b28-7b7a-ab78-e240cceb59aa;Echantillon;;
0197c64f-3eb3-7468-b586-43256bfd7dcc;jeu d'arcade;;
0197c635-e314-7a40-a8c9-9aa3d01e6154;Machine d'arcade (distributeur de jetons);;
